"Subject","Subject code","Catalog Number","Long Course Title","Description","Units - Units - Units","Units - Repeat for Credit","Course Attributes","Instructional Components"
"ACCT - Accounting","ACCT","217","Introductory Financial Accounting","Introduction to accounting for business organizations. Reporting of financial results of operations and financial position to investors, managers, and others. Emphasis on the use of accounting information for decision making.

Prerequisite(s): Admission to the Haskayne School of Business and 12 units.

Antirequisite(s): Credit for Accounting 217 and 301 will not be allowed.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T)","Lecture, Tutorial"
"ACCT - Accounting","ACCT","301","Accounting Principles","Introduction to basic accounting principles and practices. Emphasis is placed on the accounting cycle and the key financial statements necessary for business decisions. Introduces basic financial and managerial accounting concepts.

Prerequisite(s): 24 units including Entrepreneurship and Innovation 201.

Antirequisite(s): Credit for Accounting 301 and either 217 or 323 will not be allowed.

Notes: Not available for credit towards the Bachelor of Commerce degree. Preference in enrolment is given to students who have declared a Management and Society Minor. Will not act as a prerequisite for any higher level accounting course.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","323","Introductory Managerial Accounting","An introduction to the use of accounting within an organizational context. Emphasis is placed on the development and dissemination of accounting information necessary for effective management including: planning, directing, motivating, and controlling activities and behaviours.

Prerequisite(s): Admission to the Haskayne School of Business, and Accounting 217.

Antirequisite(s): Credit for Accounting 323 and 301 will not be allowed.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","341","Intermediate Financial Accounting I","Financial accounting from a producer point of view. Topics include cash, receivables, inventories, short and long-term investments, intangible assets and capital assets including the appropriate financial statement considerations.

Prerequisite(s): Admission to the Haskayne School of Business and Accounting 217 and 323.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T or 3-0.5T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T/3-.5T ((3-1T) or (3-0.5T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","343","Intermediate Financial Accounting II","Financial accounting from a producer point of view. Topics include accounting for liabilities, shareholders equity, leases, future income taxes, pensions, accounting changes and earnings per share including the relevant financial statement considerations.

Prerequisite(s): Admission to the Haskayne School of Business and Accounting 341.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","355","ESG and Sustainability Reporting","Environmental, social, and governance (ESG) performance is the key to unlocking the power of business today - to build a better tomorrow. Expand your professional opportunities by learning how to measure, analyze, and report on ESG.

Prerequisite(s): 24 units including Accounting 217 or 301.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","357","Accounting for SMEs","Covers accounting from the perspective of small or medium-sized enterprise (SME) or a new business venture - and investigates the interplay between accounting and informed, strategic decision-making.

Prerequisite(s): 24 units including Accounting 217 or 301.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","359","Contemporary Topics in Accounting","Examination of selected contemporary topics in accounting.

Prerequisite(s): 24 units including Accounting 217 or 301. For certain topics consent of the Haskayne School of Business will also be required.

Notes: For more information on topics and prerequisite requirements, see Class Notes in the Course Search.

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","361","Cost Accounting","The production of accounting data for the purpose of decision-making, control and evaluation. Topics covered are in the cost classifications and methods of cost establishment, cost data appropriate for decision models, standards and controls.

Prerequisite(s): Admission to the Haskayne School of Business and Accounting 323.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T or 3-0.5T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T/3-.5T ((3-1T) or (3-0.5T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","421","Taxation","Taxation levied on profits, sales, property and estates and its impact upon management decisions. Consideration will be given to the biases and shifts implicit in any system of taxation.

Prerequisite(s): Admission to the Haskayne School of Business, and 54 units including Accounting 217.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T or 3-0.5T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T/3-.5T ((3-1T) or (3-0.5T))","Lecture, Tutorial"
